year,scientific_name,functional_group,Landed value (tonnes)
2007,Pagellus,Medium benthopelagics (30 - 89 cm),57.23323632
2007,Loligo,Cephalopods,57.23323632
2007,Sepia,Cephalopods,286.1661816
2007,Donax,Other demersal invertebrates,5.09733812
2007,Dicentrarchus labrax,Large demersals (>=90 cm),57.23323632
2007,Conger conger,Large demersals (>=90 cm),572.3323632
2007,Argyrosomus regius,Large benthopelagics (>=90 cm),57.23323632
2007,Mullus surmuletus,Medium demersals (30 - 89 cm),801.2653085
2007,Diplodus vulgaris,Medium benthopelagics (30 - 89 cm),57.23323632
2007,Chamelea gallina,Other demersal invertebrates,86.65474804
2007,Callista chione,Other demersal invertebrates,53.52205026
2007,Acanthocardia tuberculata,Other demersal invertebrates,71.36273368
2008,Miscellaneous aquatic invertebrates,Other demersal invertebrates,55.56181967
2008,Elasmobranchii,Large sharks (>=90 cm),222.2472787
2008,Bivalvia,Other demersal invertebrates,222.2472787
2008,Pteriomorphia,Other demersal invertebrates,29.9984958
2008,Scombroidea,Large pelagics (>=90 cm),833.4272951
2008,Soleidae,Small to medium flatfishes (<90 cm),55.56181967
2008,Palinuridae,"Lobsters, crabs",833.4272951
2008,Epinephelus,Medium reef assoc. fish (30 - 89 cm),444.4945574
