year,scientific_name,functional_group,Landed value (tonnes)
1989,Pagrus pagrus,Medium benthopelagics (30 - 89 cm),2.50827476
1989,Balistes capriscus,Medium benthopelagics (30 - 89 cm),8.634706572
1989,Chamelea gallina,Other demersal invertebrates,381.1808
1989,Callista chione,Other demersal invertebrates,235.4352
1989,Acanthocardia tuberculata,Other demersal invertebrates,313.9136
1990,Miscellaneous aquatic invertebrates,Other demersal invertebrates,45.7020333
1990,Elasmobranchii,Large sharks (>=90 cm),182.8081332
1990,Bivalvia,Other demersal invertebrates,182.8081332
1990,Pteriomorphia,Other demersal invertebrates,150.92
1990,Scombroidea,Large pelagics (>=90 cm),685.5304995
1990,Soleidae,Small to medium flatfishes (<90 cm),45.7020333
1990,Palinuridae,"Lobsters, crabs",685.5304995
1990,Epinephelus,Medium reef assoc. fish (30 - 89 cm),365.6162664
1990,Pagellus,Medium benthopelagics (30 - 89 cm),45.7020333
1990,Loligo,Cephalopods,45.7020333
1990,Sepia,Cephalopods,228.5101665
1990,Donax,Other demersal invertebrates,21.56
1990,Dicentrarchus labrax,Large demersals (>=90 cm),45.7020333
1990,Conger conger,Large demersals (>=90 cm),457.020333
1990,Argyrosomus regius,Large benthopelagics (>=90 cm),45.7020333
1990,Mullus surmuletus,Medium demersals (30 - 89 cm),639.8284662
1990,Diplodus vulgaris,Medium benthopelagics (30 - 89 cm),45.7020333
1990,Chamelea gallina,Other demersal invertebrates,366.52
1990,Callista chione,Other demersal invertebrates,226.38
1990,Acanthocardia tuberculata,Other demersal invertebrates,301.84
1991,Miscellaneous aquatic invertebrates,Other demersal invertebrates,45.5079222
1991,Elasmobranchii,Large sharks (>=90 cm),182.0316888
1991,Bivalvia,Other demersal invertebrates,182.0316888
1991,Pteriomorphia,Other demersal invertebrates,148.22402
1991,Scombroidea,Large pelagics (>=90 cm),682.618833
1991,Soleidae,Small to medium flatfishes (<90 cm),45.5079222
1991,Palinuridae,"Lobsters, crabs",682.618833
1991,Epinephelus,Medium reef assoc. fish (30 - 89 cm),364.0633776
1991,Pagellus,Medium benthopelagics (30 - 89 cm),45.5079222
1991,Loligo,Cephalopods,45.5079222
1991,Sepia,Cephalopods,227.539611
1991,Donax,Other demersal invertebrates,21.17486
1991,Dicentrarchus labrax,Large demersals (>=90 cm),45.5079222
1991,Conger conger,Large demersals (>=90 cm),455.079222
1991,Argyrosomus regius,Large benthopelagics (>=90 cm),45.5079222
1991,Mullus surmuletus,Medium demersals (30 - 89 cm),637.1109108
1991,Diplodus vulgaris,Medium benthopelagics (30 - 89 cm),45.5079222
1991,Chamelea gallina,Other demersal invertebrates,359.97262
1991,Callista chione,Other demersal invertebrates,222.33603
1991,Acanthocardia tuberculata,Other demersal invertebrates,296.44804
1992,Miscellaneous aquatic invertebrates,Other demersal invertebrates,44.96018373
1992,Elasmobranchii,Large sharks (>=90 cm),179.8407349
1992,Bivalvia,Other demersal invertebrates,179.8407349
1992,Pteriomorphia,Other demersal invertebrates,96.8778118
1992,Scombroidea,Large pelagics (>=90 cm),674.402756
1992,Soleidae,Small to medium flatfishes (<90 cm),44.96018373
1992,Palinuridae,"Lobsters, crabs",674.402756
1992,Epinephelus,Medium reef assoc. fish (30 - 89 cm),359.6814698
1992,Pagellus,Medium benthopelagics (30 - 89 cm),44.96018373
1992,Loligo,Cephalopods,44.96018373
1992,Sepia,Cephalopods,224.8009187
1992,Donax,Other demersal invertebrates,13.8396874
1992,Dicentrarchus labrax,Large demersals (>=90 cm),44.96018373
1992,Conger conger,Large demersals (>=90 cm),449.6018373
1992,Argyrosomus regius,Large benthopelagics (>=90 cm),44.96018373
1992,Mullus surmuletus,Medium demersals (30 - 89 cm),629.4425722
1992,Diplodus vulgaris,Medium benthopelagics (30 - 89 cm),44.96018373
1992,Chamelea gallina,Other demersal invertebrates,235.2746858
1992,Callista chione,Other demersal invertebrates,145.3167177
