Species (common name),Species (latin name),Functional group,commercial group,Max length (cm),Trophic level,Depth range (m),Coord,Temperature (?C),Vulnerability(%)
Blacktip shark ,Carcharchinus limbatus,Large sharks,Sharks and rays,226,4.37,0-100,45øN-37øS,19.9 - 29,55
Blue shark,Prionace glauca,Large sharks,Sharks and rays,328,4.35,1-1000,66øN-55øS,ÿ5.9 - 25.2,77
Bluntnose sixgill shark,Hexanchus griseus,Large sharks,Sharks and rays,395,4.48,Jan-00,65øN-46øS,3.6 - 15.7,84
Bramble shark,Echinorhinus brucus,Large sharks,Sharks and rays,254,4.38,10-900,61øN-48øS,4.1 - 13.9,85
Copper shark,Carcharhinus brachyurus,Large sharks,Sharks and rays,266,4.5,0-360,45øN-52øS,11.6 - 23.8,87
Duskey shark ,carcharhinus obscurus,Large sharks,Perch-likes,112,4.43,8-300,43øN-43øS,8.7 - 18.6,88
Great hammerhead,Sphyrna mokarran,Large sharks,Sharks and rays,500,4.32,1-300,45øN-37øS,21.3 - 28.9,86
Great white shark,Carcharodon carcharias,Large sharks,Sharks and rays,486,4.53,0-1200,60øN-50øS,11.3 - 24.9,86
Gulper shark,Centrophorus granulosus,Large sharks,Sharks and rays,139,4.11,50-1440,48øN-34øS,7.7 - 17.3,80
Kitefin shark,Dalatias licha,Large sharks,Sharks and rays,149,4.23,37-1800,60øN-48øS,2.5 - 14.3,65
Leafscale gulper shark,Centrophorus squamosus,Large sharks,Sharks and rays,134,4.47,145-2400,64øN-45øS,4.1 - 10.6,86
Longfin mako,Isurus paucus,Large sharks,Sharks and rays,342,4.51,0-1752,45øN-35øS,8.9 - 26.1,86
Longnose velvet dogfish,Centroscymnus crepidater,Large sharks,Sharks and rays,104,4.16,230-1500,65øN-45øS,2.6 - 10.8,78
Lowfin gulper shark,Centrophorus lusitanicus,Large sharks,Sharks and rays,131,4.43,300-1400,38øN-26øS,5.3 - 12,87
Nursehound,Scyliorhinus stellaris,Large sharks,Sharks and rays,139,4.03,1-400,64øN-12øS,7.8 - 19.5,67
Oceanic whitetip shark,Carcharhinus longimanus,Large sharks,Sharks and rays,328,4.16,0-230,46øN-43øS,17.9 - 28.9,79
Piked dogfish,Squalus acanthias,Large sharks,Sharks and rays,131,4.37,0-1460,72øN-55øS,4.2 - 18.7,68
Porbeagle,Lamna nasus,Large sharks,Sharks and rays,287,4.57,0-715,76øN-60øS,3.1 - 16.3,86
Portuguese dogfish,Centroscymnus coelolepis,Large sharks,Sharks and rays,98,4.48,150-3700,64øN-48øS,0.8 - 10.3,75
Sandbar shark,Carcharhinus plumbeus,Large sharks,Sharks and rays,205,4.49,0-500,45øN-38øS,16.6 - 28.9,88
Scalloped hammerhead,Sphyrna lewini,Large sharks,Sharks and rays,353,4.08,0-1000,46øN-36øS,18.7 - 29,81
Shortfin mako,Isurus oxyrinchus,Large sharks,Sharks and rays,392,4.5,0-750,64øN-50øS,9.7 - 24.4,83
Silky shark,Carcharhinus falciformis,Large sharks,Sharks and rays,287,4.51,0-4000,40øN-40øS,12 - 28.9,79
Smooth hammerhead,Sphyrna zygaena,Large sharks,Sharks and rays,410,4.94,0-200,53øN-55øS,11.8 - 28.9,85
Smooth-hound,Mustelus mustelus,Large sharks,Sharks and rays,164,3.75,0-200,58øN-34øS,9.8 - 27.3,74
Starry smooth-hound,Mustelus asterias,Large sharks,Sharks and rays,115,3.62,0-350,61øN-16øS,7 - 16.2,70
Thresher ,Alopias vulpinus,Large sharks,Sharks and rays,623,4.5,0-650,67øN-58øS,11.6 - 28.2,73
Tiger shark,Galeocerdo cuvier,Large sharks,Sharks and rays,615,4.54,0-800,62øN-42øS,15.8 - 28.9,64
Tope shark,Galeorhinus galeus,Large sharks,Sharks and rays,160,4.34,0-1100,70øN-58øS,6.7 - 23.2,74
European lobster,Homarus gammarus,"Lobsters, crabs",crustaceans,65,2.6,0-150,70øN-25øS,7.7 - 13.3,46
Norway lobster,Nephrops norvegicus,"Lobsters, crabs",crustaceans,24,2.88,20-800,69øN-27øS,3.3 - 13.7,14
Spinous spider crab,Maja squinado,"Lobsters, crabs",crustaceans,13,2.94,0-150,62øN-28øS,8.2 - 20.1,12
West african geryon,Chaceon maritae,"Lobsters, crabs",crustaceans,17,2.85,200-2047,90øN-90øS,5.5 - 12,10
Black cardinal fish ,Epigonus telescopus,Medium bathydemersals,Perch-likes,66,3.59,75-1200,65øN-43øS,4.6 - 13.8,70
Blackbelly rosefish ,Helicolenus dactylopterus,Medium bathydemersals,scorpionfishes,39,3.54,50-1100,70øN-46øS,ÿ4 - 18.1,54
Spiny scorpionfish,Trachyscorpia cristulata echinata,Medium bathydemersals,scorpionfishes,50,4.21,200-2500,58øN-12øS,9.4 - 14.6,69
Stout beardfish,Polymixia nobilis,Medium bathydemersals,Other fishes and inverts,40,4.2,100-770,90øN-90øS,8.4 - 15.3,43
Atlantic pomfret ,Brama brama,Medium bathypelagics,Perch-likes,69,4.08,0-1000,65øN-42øS,ÿ6.7 - 23.9,71
Axillary seabream ,Pagellus acarne,Medium benthopelagics,Perch-likes,36,3.81,40-100,48øN-13øS,12 - 18.4,43
Bearded brotula ,Brotula barbata,Medium benthopelagics,Other fishes and inverts,87,3.41,50-300,29øN-22øS,12.5 - 26.5,52
Black seabream ,Spondyliosoma cantharus,Medium benthopelagics,Perch-likes,60,3.34,5-300,68øN-16øS,7 - 17.2,37
Blackspot seabream ,pagellus bogaraveo,Medium benthopelagics,Perch-likes,70,4.21,150-700,65øN-20ø,ÿ6.9 - 14.9,57
Blue butterfish,Stromateus fiatola,Medium benthopelagics,Perch-likes,50,3.91,Oct-70,44øN-34øS,14.5 - 27.4,33
Blue whiting,Micromesistius poutassou,Medium benthopelagics,Cod-likes,42,4.13,150-3000,79øN-26øS,3.1 - 13.9,34
Common pandora,Pagellus erythrinus,Medium benthopelagics,Perch-likes,60,3.48,20-100,60øN-15øS,12.2 - 21,40
Common twobanded seabream,Diplodus vulgaris,Medium benthopelagics,Perch-likes,41,3.52,0-160,50øN-40øS,15.9 - 21.6,48
Cunene horse mackerel,Trachurus trecae,Medium benthopelagics,Perch-likes,32,3.3,20-100,36øN-21øS,16.4 - 27.9,36
False scad ,Caranx rhonchus,Medium benthopelagics,Perch-likes,49,3.6,30-200,39øN-22øS,16.2 - 25.6,36
Grey triggerfish,Balistes capriscus,Medium benthopelagics,Other fishes and inverts,53,4.06,0-55,58øN-37øS,9 - 26.2,35
John dory,Zeus faber,Medium benthopelagics,Other fishes and inverts,79,4.5,5-400,63øN-47øS,6.7 - 23.7,68
Largeeye dentex,Dentex macrophthalmus,Medium benthopelagics,Perch-likes,54,3.43,30-500,50øN-22øS,13 - 16.8,33
Pouting,Trisopterus luscus,Medium benthopelagics,Cod-likes,42,3.73,30-100,62øN-25øN,7.1 - 12.8,44
Red porgy,Pagrus pagrus,Medium benthopelagics,Perch-likes,73,3.86,0-250,57øN-38øS,15.8 - 27.8,66
Sand steenbras,Lithognathus mormyrus,Medium benthopelagics,Perch-likes,45,3.38,0-150,50øN-40øS,17.1 - 27.5,44
Sharpsnout seabream,Diplodus puntazzo,Medium benthopelagics,Perch-likes,43,3.22,0-150,42øN-28øS,16 - 21.6,34
Silvery john dory,Zenopsis conchifer,Medium benthopelagics,Other fishes and inverts,69,4.5,50-600,58øN-28øS,6.1 - 20.1,61
Splendid alfonsino,Beryx splendens,Medium benthopelagics,Other fishes and inverts,55,4.27,25-1300,65øN-43øS,6.6 - 12.9,57
Vadigo,Campogramma glaycos,Medium benthopelagics,Perch-likes,54,4.5,15-30,55øN-12øS,10.3 - 20.7,45
Bastard grunt ,Pomadasys incisus,Medium demersals,Perch-likes,43,3.8,10-100,47øN-14øS,18.3 - 27.9,40
Bogue,Boops boops,Medium demersals,Perch-likes,32,2.79,0-350,63øN-16øS,11.7 - 27.7,50
Brown meagre,Sciaena umbra,Medium demersals,Perch-likes,59,3.75,10-200,53øN-13øS,12.8 - 19.6,64
Canary drum,Umbrina canariensis,Medium demersals,Perch-likes,65,3.37,50-300,50øN-28øS,11.9 - 19.7,44
Gilthead seabream,Sparus aurata,Medium demersals,Perch-likes,57,3.7,1-150,57øN-43øS,12.1 - 21,40
Lesser african threadfin,Galeoides decadactylus,Medium demersals,Perch-likes,36,3.57,Oct-70,38øN-16øS,20.1 - 27.9,31
Lusitanian toadfish,Halobatrachus didactylus,Medium demersals,Other fishes and inverts,41,3.89,Oct-50,45øN-4øN,15.5 - 27.5,59
Red mullet,Mullus barbatus barbatus,Medium demersals,Perch-likes,33,3.14,10-328,57øN-15øS,ÿ13.1 - 15.9,29
Red pandora,Pagellus bellotti,Medium demersals,Perch-likes,42,3.6,Oct-50,35øN-25øS,18.5 - 28,49
Rubberlip grunt,Plectorhinchus mediterraneus,Medium demersals,Perch-likes,80,3.49,10-180,45øN-22øS,16.1 - 24.4,54
Senegalese hake,Merluccius senegalensis,Medium demersals,Cod-likes,73,4.5,15-800,33øN-12øS,10.2 - 16.8,69
Shi drum ,Umbrina cirrosa,Medium demersals,Perch-likes,59,3.39,0-100,46øN-30øS,13.3 - 21,40
Surmullet ,Mullus surmuletus,Medium demersals,Perch-likes,40,3.45,5-409,55øN-14øS,7 - 16.1,39
White seabream,Diplodus sargus sargus,Medium demersals,Perch-likes,36,3.38,May-50,47øN-28øS,15 - 24.1,63
Alexandria pompano ,(Alectis alexandrina),Medium pelagics,Perch-likes,82,3.6,-,42øN-13øS,18.6 - 27.9,52
Atlantic binito ,(Sarda sarda),Medium pelagics,Tuna and billfishes,84,4.5,80-200,65øN-40øS,7 - 23.4,33
Atlantic chub mackerel ,Scomber colias,Medium pelagics,Perch-likes,49,3.91,-,46øN-40øS,13.9 - 27.3,43
Atlantic horse mackerel ,Trachurus trachurus,Medium pelagics,Perch-likes,62,3.71,0-1050,70øN-28øS,10.6 - 16.6,59
