Specie (common name;Specie (latin name);Functional group;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Blue butterfish;Stromateus fiatola;Large pelagics;0.0069-0.014;0.0069-0.014;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.039-0.07;0.07-0.039;0.07-0.039;0.07-0.039;0.07-0.039
Blue whiting;Micromesistius poutassou;Large pelagics;0.0069-0.014;0.0069-0.014;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.039-0.07;0.07-0.039;0.07-0.039;0.07-0.039;0.07-0.039
Common dentex;Dentex dentex;Large pelagics;0.0069-0.014;0.0069-0.014;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.039-0.07;0.07-0.039;0.07-0.039;0.07-0.039;0.07-0.039
Golden grey mullet;Liza auruta;Large pelagics;0.0069-0.014;0.0069-0.014;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.039-0.07;0.07-0.039;0.07-0.039;0.07-0.039;0.07-0.039
Leafscale gulper shark;Centrophorus squamosus;Large pelagics;0.0069-0.014;0.0069-0.014;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.039-0.07;0.07-0.039;0.07-0.039;0.07-0.039;0.07-0.039
Lesser african threadfin;Galeoides decadactylus;Large pelagics;0.0069-0.014;0.0069-0.014;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.039-0.07;0.07-0.039;0.07-0.039;0.07-0.039;0.07-0.039
Long snouted lancetfish;Alepisaurus ferox;Large pelagics;0.0069-0.014;0.0069-0.014;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.039-0.07;0.07-0.039;0.07-0.039;0.07-0.039;0.07-0.039
Mediterranean moray;Muraena helena;Large pelagics;0.0069-0.014;0.0069-0.014;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.039-0.07;0.07-0.039;0.07-0.039;0.07-0.039;0.07-0.039
Piked dogfish;Squalus acanthias;Large pelagics;0.0069-0.014;0.0069-0.014;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.039-0.07;0.07-0.039;0.07-0.039;0.07-0.039;0.07-0.039
Silvery john dory;Zenopsis conchifer;Large pelagics;0.0069-0.014;0.0069-0.014;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.039-0.07;0.07-0.039;0.07-0.039;0.07-0.039;0.07-0.039
Surmullet ;Mullus surmuletus;Large pelagics;0.0069-0.014;0.0069-0.014;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.039-0.07;0.07-0.039;0.07-0.039;0.07-0.039;0.07-0.039
Vadigo;Campogramma glaycos;Large pelagics;0.0069-0.014;0.0069-0.014;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.039-0.07;0.07-0.039;0.07-0.039;0.07-0.039;0.07-0.039
Wreckfish ;Polyprion americanus;Large pelagics;0.0069-0.014;0.0069-0.014;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.039-0.07;0.07-0.039;0.07-0.039;0.07-0.039;0.07-0.039
Yellowfin tuna ;Thunnus albacares;Large pelagics;0.0069-0.014;0.0069-0.014;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.039-0.07;0.07-0.039;0.07-0.039;0.07-0.039;0.07-0.039
Copper shark;Carcharhinus brachyurus;Large reef assoc. Fish;0.043-0.25;0.043-0.25;0.043-0.25;0.043-0.25;0.043-0.25;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.024-0.031;0.031-0.043;0.024-0.031;0.031-0.043;0.031-0.043;0.031-0.043
Duskey shark ;carcharhinus obscurus;Large reef assoc. Fish;0.043-0.25;0.043-0.25;0.043-0.25;0.043-0.25;0.043-0.25;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.024-0.031;0.031-0.043;0.024-0.031;0.031-0.043;0.031-0.043;0.031-0.043
Great white shark;Carcharodon carcharias;Large reef assoc. Fish;0.043-0.25;0.043-0.25;0.043-0.25;0.043-0.25;0.043-0.25;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.024-0.031;0.031-0.043;0.024-0.031;0.031-0.043;0.031-0.043;0.031-0.043
Meagre;Argyrosomus regius;Large reef assoc. Fish;0.043-0.25;0.043-0.25;0.043-0.25;0.043-0.25;0.043-0.25;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.024-0.031;0.031-0.043;0.024-0.031;0.031-0.043;0.031-0.043;0.031-0.043
Alexandria pompano ;(Alectis alexandrina);Large sharks;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.012-0.02;0.012-0.02;0.012-0.02;0.012-0.02;0.012-0.02;0.0065-0.012;0.0065-0.012;0.012-0.02;0.012-0.02;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.012-0.02;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032
Axillary seabream ;Pagellus acarne;Large sharks;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.012-0.02;0.012-0.02;0.012-0.02;0.012-0.02;0.012-0.02;0.0065-0.012;0.0065-0.012;0.012-0.02;0.012-0.02;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.012-0.02;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032
Bearded brotula ;Brotula barbata;Large sharks;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.012-0.02;0.012-0.02;0.012-0.02;0.012-0.02;0.012-0.02;0.0065-0.012;0.0065-0.012;0.012-0.02;0.012-0.02;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.012-0.02;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032
Bigeye tuna ;Thunnus obesus;Large sharks;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.012-0.02;0.012-0.02;0.012-0.02;0.012-0.02;0.012-0.02;0.0065-0.012;0.0065-0.012;0.012-0.02;0.012-0.02;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.012-0.02;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032
Blackspot seabream ;pagellus bogaraveo;Large sharks;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.012-0.02;0.012-0.02;0.012-0.02;0.012-0.02;0.012-0.02;0.0065-0.012;0.0065-0.012;0.012-0.02;0.012-0.02;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.012-0.02;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032
Blue marlin;Makaira nigricans;Large sharks;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.012-0.02;0.012-0.02;0.012-0.02;0.012-0.02;0.012-0.02;0.0065-0.012;0.0065-0.012;0.012-0.02;0.012-0.02;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.012-0.02;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032
