;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Species (common name);Species (latin name);Functional group;commercial group;Max length (cm);Trophic level;Depth range (m);Coord;Temperature (¨C);Vulnerability(%)
Wahoo;Acanthocybium solandri;Large pelagics;Perch-likes;227;4.26;0-20;45°N-38°S;18.2 - 27.6;46
Yellowfin tuna ;Thunnus albacares;Large pelagics;Tuna and billfishes;231;4.41;1-250;52°N-45°S;16.5 - 28.9;51
Blonde ray;Raja brachyura;Large rays;Sharks and rays;102;3.98;10-380;60°N-21°S;7.1 - 16.2;65
Thornback ray;Raja clavata;Large rays;Sharks and rays;105;3.84;20-577;70°N-28°S;7.1 - 15.8;73
Crevalle jack;Caranx hippos;Large reef assoc. Fish;Perch-likes;102;3.56;1-350;45°N-33°S;16.5 - 27.9;41
Dusky grouper;Epinephelus marginatus;Large reef assoc. Fish;Sharks and rays;344;4.28;0-400;55°N-43°S;13.3 - 25.8;72
Greater amberjack;Seriola dumerili;Large reef assoc. Fish;Perch-likes;156;4.50;1-360;45°N-28°S;16.9 - 29;54
Mediterranean moray;Muraena helena;Large reef assoc. Fish;Other fishes and inverts;123;4.18;15-50;52°N-13°S;13.1 - 16.2;79
Angular roughshark ;(Oxynotus centrina);Large sharks;Sharks and rays;123;3.06;40-777;53°N-28°S;9.5 - 15.3;80
Basking shark ;Cetorhinus maximus;Large sharks;Sharks and rays;804;3.20;0-2000;72°N-55°S;5.4 - 22.7,;86
Bigeye thresher ;Alopias superciliosus;Large sharks;Sharks and rays;400;4.51;0-730;46°N-40°S;19.2 - 29;84
Birdbeak dogfish ;Deania calcea;Large sharks;Sharks and rays;100;4.33;60-1490;66°N-45°S;0.3 - 9.6;66
Blacktip shark ;Carcharchinus limbatus;Large sharks;Sharks and rays;226;4.37;0-100;45°N-37°S;19.9 - 29;55
Blue shark;Prionace glauca;Large sharks;Sharks and rays;328;4.35;1-1000;66°N-55°S; 5.9 - 25.2;77
Bluntnose sixgill shark;Hexanchus griseus;Large sharks;Sharks and rays;395;4.48;janv-00;65°N-46°S;3.6 - 15.7;84
Bramble shark;Echinorhinus brucus;Large sharks;Sharks and rays;254;4.38;10-900;61°N-48°S;4.1 - 13.9;85
Copper shark;Carcharhinus brachyurus;Large sharks;Sharks and rays;266;4.50;0-360;45°N-52°S;11.6 - 23.8;87
Duskey shark ;carcharhinus obscurus;Large sharks;Perch-likes;112;4.43;8-300;43°N-43°S;8.7 - 18.6;88
Great hammerhead;Sphyrna mokarran;Large sharks;Sharks and rays;500;4.32;1-300;45°N-37°S;21.3 - 28.9;86
Great white shark;Carcharodon carcharias;Large sharks;Sharks and rays;486;4.53;0-1200;60°N-50°S;11.3 - 24.9;86
Gulper shark;Centrophorus granulosus;Large sharks;Sharks and rays;139;4.11;50-1440;48°N-34°S;7.7 - 17.3;80
Kitefin shark;Dalatias licha;Large sharks;Sharks and rays;149;4.23;37-1800;60°N-48°S;2.5 - 14.3;65
Leafscale gulper shark;Centrophorus squamosus;Large sharks;Sharks and rays;134;4.47;145-2400;64°N-45°S;4.1 - 10.6;86
Longfin mako;Isurus paucus;Large sharks;Sharks and rays;342;4.51;0-1752;45°N-35°S;8.9 - 26.1;86
Longnose velvet dogfish;Centroscymnus crepidater;Large sharks;Sharks and rays;104;4.16;230-1500;65°N-45°S;2.6 - 10.8;78
Lowfin gulper shark;Centrophorus lusitanicus;Large sharks;Sharks and rays;131;4.43;300-1400;38°N-26°S;5.3 - 12;87
Nursehound;Scyliorhinus stellaris;Large sharks;Sharks and rays;139;4.03;1-400;64°N-12°S;7.8 - 19.5;67
Oceanic whitetip shark;Carcharhinus longimanus;Large sharks;Sharks and rays;328;4.16;0-230;46°N-43°S;17.9 - 28.9;79
Piked dogfish;Squalus acanthias;Large sharks;Sharks and rays;131;4.37;0-1460;72°N-55°S;4.2 - 18.7;68
Porbeagle;Lamna nasus;Large sharks;Sharks and rays;287;4.57;0-715;76°N-60°S;3.1 - 16.3;86
Portuguese dogfish;Centroscymnus coelolepis;Large sharks;Sharks and rays;98;4.48;150-3700;64°N-48°S;0.8 - 10.3;75
Sandbar shark;Carcharhinus plumbeus;Large sharks;Sharks and rays;205;4.49;0-500;45°N-38°S;16.6 - 28.9;88
Scalloped hammerhead;Sphyrna lewini;Large sharks;Sharks and rays;353;4.08;0-1000;46°N-36°S;18.7 - 29;81
Shortfin mako;Isurus oxyrinchus;Large sharks;Sharks and rays;392;4.50;0-750;64°N-50°S;9.7 - 24.4;83
Silky shark;Carcharhinus falciformis;Large sharks;Sharks and rays;287;4.51;0-4000;40°N-40°S;12 - 28.9;79
Smooth hammerhead;Sphyrna zygaena;Large sharks;Sharks and rays;410;4.94;0-200;53°N-55°S;11.8 - 28.9;85
Smooth-hound;Mustelus mustelus;Large sharks;Sharks and rays;164;3.75;0-200;58°N-34°S;9.8 - 27.3;74
Starry smooth-hound;Mustelus asterias;Large sharks;Sharks and rays;115;3.62;0-350;61°N-16°S;7 - 16.2;70
Thresher ;Alopias vulpinus;Large sharks;Sharks and rays;623;4.50;0-650;67°N-58°S;11.6 - 28.2;73
Tiger shark;Galeocerdo cuvier;Large sharks;Sharks and rays;615;4.54;0-800;62°N-42°S;15.8 - 28.9;64
Tope shark;Galeorhinus galeus;Large sharks;Sharks and rays;160;4.34;0-1100;70°N-58°S;6.7 - 23.2;74
European lobster;Homarus gammarus;Lobsters, crabs;crustaceans;65;2.60;0-150;70°N-25°S;7.7 - 13.3;46
Norway lobster;Nephrops norvegicus;Lobsters, crabs;crustaceans;24;2.88;20-800;69°N-27°S;3.3 - 13.7;14
Spinous spider crab;Maja squinado;Lobsters, crabs;crustaceans;13;2.94;0-150;62°N-28°S;8.2 - 20.1;12
West african geryon;Chaceon maritae;Lobsters, crabs;crustaceans;17;2.85;200-2047;90°N-90°S;5.5 - 12;10
Black cardinal fish ;Epigonus telescopus;Medium bathydemersals;Perch-likes;66;3.59;75-1200;65°N-43°S;4.6 - 13.8;70
Blackbelly rosefish ;Helicolenus dactylopterus;Medium bathydemersals;scorpionfishes;39;3.54;50-1100;70°N-46°S; 4 - 18.1;54
Spiny scorpionfish;Trachyscorpia cristulata echinata;Medium bathydemersals;scorpionfishes;50;4.21;200-2500;58°N-12°S;9.4 - 14.6;69
Stout beardfish;Polymixia nobilis;Medium bathydemersals;Other fishes and inverts;40;4.20;100-770;90°N-90°S;8.4 - 15.3;43
Atlantic pomfret ;Brama brama;Medium bathypelagics;Perch-likes;69;4.08;0-1000;65°N-42°S; 6.7 - 23.9;71
Axillary seabream ;Pagellus acarne;Medium benthopelagics;Perch-likes;36;3.81;40-100;48°N-13°S;12 - 18.4;43
Bearded brotula ;Brotula barbata;Medium benthopelagics;Other fishes and inverts;87;3.41;50-300;29°N-22°S;12.5 - 26.5;52
Black seabream ;Spondyliosoma cantharus;Medium benthopelagics;Perch-likes;60;3.34;5-300;68°N-16°S;7 - 17.2;37
Blackspot seabream ;pagellus bogaraveo;Medium benthopelagics;Perch-likes;70;4.21;150-700;65°N-20°; 6.9 - 14.9;57
Blue butterfish;Stromateus fiatola;Medium benthopelagics;Perch-likes;50;3.91;oct-70;44°N-34°S;14.5 - 27.4;33
Blue whiting;Micromesistius poutassou;Medium benthopelagics;Cod-likes;42;4.13;150-3000;79°N-26°S;3.1 - 13.9;34
Common pandora;Pagellus erythrinus;Medium benthopelagics;Perch-likes;60;3.48;20-100;60°N-15°S;12.2 - 21;40
Common twobanded seabream;Diplodus vulgaris;Medium benthopelagics;Perch-likes;41;3.52;0-160;50°N-40°S;15.9 - 21.6;48
Cunene horse mackerel;Trachurus trecae;Medium benthopelagics;Perch-likes;32;3.30;20-100;36°N-21°S;16.4 - 27.9;36
False scad ;Caranx rhonchus;Medium benthopelagics;Perch-likes;49;3.60;30-200;39°N-22°S;16.2 - 25.6;36
Grey triggerfish;Balistes capriscus;Medium benthopelagics;Other fishes and inverts;53;4.06;0-55;58°N-37°S;9 - 26.2;35
John dory;Zeus faber;Medium benthopelagics;Other fishes and inverts;79;4.50;5-400;63°N-47°S;6.7 - 23.7;68
