Specie (latin name);1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Sardinella maderensis;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.08;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31
Carcharhinus longimanus;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.08;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31
Pagrus pagrus;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.08;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.011-0.02;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.02- 0.057;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31;0.057-0.31
Argentina sphyraena;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.0033-0.0099;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049
Conger conger;0.001-0.0033 ;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049
Anguilla anguilla;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0035;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0035;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049
Sardina pilchardus;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0036;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049
Scomberomorus tritor;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0037;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.001-0.0033;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0033-0.009;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049;0.0099-0.049
(selene dorsalis);0.0069-0.014;0.0069-0.014;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.039-0.07;0.07-0.039;0.07-0.039;0.07-0.039;0.07-0.039
(Sarda sarda);0.0069-0.014;0.0069-0.014;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.039-0.07;0.07-0.039;0.07-0.039;0.07-0.039;0.07-0.039
Brama brama;0.0069-0.014;0.0069-0.014;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.039-0.07;0.07-0.039;0.07-0.039;0.07-0.039;0.07-0.039
