Specie (latin name);1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Scomberesox saurus saurus;0.0069-0.014;0.0069-0.014;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.039-0.07;0.07-0.039;0.07-0.039;0.07-0.039;0.07-0.039
Alopias superciliosus;0.0069-0.014;0.0069-0.014;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.039-0.07;0.07-0.039;0.07-0.039;0.07-0.039;0.07-0.039
Stromateus fiatola;0.0069-0.014;0.0069-0.014;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.039-0.07;0.07-0.039;0.07-0.039;0.07-0.039;0.07-0.039
Micromesistius poutassou;0.0069-0.014;0.0069-0.014;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.039-0.07;0.07-0.039;0.07-0.039;0.07-0.039;0.07-0.039
Dentex dentex;0.0069-0.014;0.0069-0.014;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.039-0.07;0.07-0.039;0.07-0.039;0.07-0.039;0.07-0.039
Liza auruta;0.0069-0.014;0.0069-0.014;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.039-0.07;0.07-0.039;0.07-0.039;0.07-0.039;0.07-0.039
Centrophorus squamosus;0.0069-0.014;0.0069-0.014;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.039-0.07;0.07-0.039;0.07-0.039;0.07-0.039;0.07-0.039
Galeoides decadactylus;0.0069-0.014;0.0069-0.014;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.039-0.07;0.07-0.039;0.07-0.039;0.07-0.039;0.07-0.039
Alepisaurus ferox;0.0069-0.014;0.0069-0.014;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.039-0.07;0.07-0.039;0.07-0.039;0.07-0.039;0.07-0.039
Muraena helena;0.0069-0.014;0.0069-0.014;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.039-0.07;0.07-0.039;0.07-0.039;0.07-0.039;0.07-0.039
Squalus acanthias;0.0069-0.014;0.0069-0.014;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.039-0.07;0.07-0.039;0.07-0.039;0.07-0.039;0.07-0.039
Zenopsis conchifer;0.0069-0.014;0.0069-0.014;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.039-0.07;0.07-0.039;0.07-0.039;0.07-0.039;0.07-0.039
Mullus surmuletus;0.0069-0.014;0.0069-0.014;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.039-0.07;0.07-0.039;0.07-0.039;0.07-0.039;0.07-0.039
Campogramma glaycos;0.0069-0.014;0.0069-0.014;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.039-0.07;0.07-0.039;0.07-0.039;0.07-0.039;0.07-0.039
Polyprion americanus;0.0069-0.014;0.0069-0.014;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.039-0.07;0.07-0.039;0.07-0.039;0.07-0.039;0.07-0.039
Thunnus albacares;0.0069-0.014;0.0069-0.014;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.041-0.023;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.023-0.039;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.039-0.07;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.039-0.07;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.07-2.2;0.039-0.07;0.039-0.07;0.07-0.039;0.07-0.039;0.07-0.039;0.07-0.039
Carcharhinus brachyurus;0.043-0.25;0.043-0.25;0.043-0.25;0.043-0.25;0.043-0.25;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.024-0.031;0.031-0.043;0.024-0.031;0.031-0.043;0.031-0.043;0.031-0.043
carcharhinus obscurus;0.043-0.25;0.043-0.25;0.043-0.25;0.043-0.25;0.043-0.25;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.024-0.031;0.031-0.043;0.024-0.031;0.031-0.043;0.031-0.043;0.031-0.043
Carcharodon carcharias;0.043-0.25;0.043-0.25;0.043-0.25;0.043-0.25;0.043-0.25;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.024-0.031;0.031-0.043;0.024-0.031;0.031-0.043;0.031-0.043;0.031-0.043
Argyrosomus regius;0.043-0.25;0.043-0.25;0.043-0.25;0.043-0.25;0.043-0.25;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.024-0.031;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.031-0.043;0.024-0.031;0.031-0.043;0.024-0.031;0.031-0.043;0.031-0.043;0.031-0.043
(Alectis alexandrina);0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.012-0.02;0.012-0.02;0.012-0.02;0.012-0.02;0.012-0.02;0.0065-0.012;0.0065-0.012;0.012-0.02;0.012-0.02;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.012-0.02;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032
Pagellus acarne;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.012-0.02;0.012-0.02;0.012-0.02;0.012-0.02;0.012-0.02;0.0065-0.012;0.0065-0.012;0.012-0.02;0.012-0.02;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.012-0.02;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032
Brotula barbata;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.012-0.02;0.012-0.02;0.012-0.02;0.012-0.02;0.012-0.02;0.0065-0.012;0.0065-0.012;0.012-0.02;0.012-0.02;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.012-0.02;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032
Thunnus obesus;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.012-0.02;0.012-0.02;0.012-0.02;0.012-0.02;0.012-0.02;0.0065-0.012;0.0065-0.012;0.012-0.02;0.012-0.02;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.012-0.02;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032
pagellus bogaraveo;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.012-0.02;0.012-0.02;0.012-0.02;0.012-0.02;0.012-0.02;0.0065-0.012;0.0065-0.012;0.012-0.02;0.012-0.02;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.0065-0.012;0.012-0.02;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032;0.02-0.032
